event_date,event_time,imei,event_type,operator,producer_status,consumer_status,stream_result
2026-08-14,16:26:03,991454878015494,VERIFICATION_COMPLETED,CarrierMSP (Node A),SIMULATED_EMIT,SIMULATED_PROCESS,SIMULATION_PASS
2026-08-14,16:26:40,998554845333806,TAMPER_DETECTED,CarrierMSP (Node A),SIMULATED_EMIT,SIMULATED_PROCESS,SIMULATION_PASS
2026-08-14,16:30:44,353708844242637,VERIFICATION_UNKNOWN,CarrierMSP (Node A),SIMULATED_EMIT,SIMULATED_PROCESS,SIMULATION_PASS
2026-08-15,18:07:30,353708844242637,VERIFICATION_UNKNOWN,CarrierMSP (Node A),SIMULATED_EMIT,SIMULATED_PROCESS,SIMULATION_PASS
2026-08-19,13:06:52,991377451265527,VERIFICATION_COMPLETED,CarrierMSP (Node A),SIMULATED_EMIT,SIMULATED_PROCESS,SIMULATION_PASS
2026-08-19,13:11:34,999742791527740,TAMPER_DETECTED,CarrierMSP (Node A),SIMULATED_EMIT,SIMULATED_PROCESS,SIMULATION_PASS
2026-08-19,13:17:22,993185023598285,VERIFICATION_UNKNOWN,CarrierMSP (Node A),SIMULATED_EMIT,SIMULATED_PROCESS,SIMULATION_PASS
2026-08-19,13:26:34,999742791527740,TAMPER_DETECTED,CarrierMSP (Node A),SIMULATED_EMIT,SIMULATED_PROCESS,SIMULATION_PASS
2026-09-01,20:21:53,991377451265527,VERIFICATION_COMPLETED,CarrierMSP (Node A),SIMULATED_EMIT,SIMULATED_PROCESS,SIMULATION_PASS
2026-09-01,20:22:21,999742791527740,TAMPER_DETECTED,CarrierMSP (Node A),SIMULATED_EMIT,SIMULATED_PROCESS,SIMULATION_PASS
2026-09-01,20:22:32,993185023598285,VERIFICATION_UNKNOWN,CarrierMSP (Node A),SIMULATED_EMIT,SIMULATED_PROCESS,SIMULATION_PASS
